FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination
3136594,3424,10000,0.044,33554432,2,2,8,0,574.4705507,142.6312292,4/10/15,35:48.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,2,16,0,555.1744408,147.5886211,4/10/15,38:11.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,2,32,0,784.6224736,104.429127,4/10/15,40:39.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,4,1,0,852.6344821,96.09913898,4/10/15,42:23.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,4,2,0,769.7007629,106.4536328,4/10/15,43:59.5,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,4,4,0,825.0000092,99.31813502,4/10/15,45:45.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,4,8,0,889.4610195,92.12035608,4/10/15,47:25.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,4,16,0,819.4544253,99.99025106,4/10/15,48:57.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,4,32,0,1049.812721,78.0495851,4/10/15,50:37.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,8,1,0,1208.801721,67.78405905,4/10/15,51:55.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,8,2,0,1259.386428,65.0614109,4/10/15,53:03.2,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,8,4,0,1198.291376,68.37857389,4/10/15,54:08.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,8,8,0,1122.31215,73.00771809,4/10/15,55:16.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,8,16,0,1350.487154,60.67252088,4/10/15,56:29.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,8,32,0,1266.663924,64.68760395,4/10/15,57:30.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,16,1,0,1698.545101,48.23979998,4/10/15,58:35.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,16,2,0,1748.846592,46.85229993,4/10/15,59:23.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,16,4,0,1845.650284,44.39491606,4/10/15,00:10.1,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,16,8,0,1740.94065,47.06510592,4/10/15,00:54.5,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,16,16,0,1732.263031,47.30082703,4/10/15,01:41.6,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,16,32,0,1670.052929,49.06283402,4/10/15,02:28.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,32,1,0,2286.851233,35.82986999,4/10/15,03:17.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,32,2,0,2481.92608,33.01371288,4/10/15,03:53.8,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,32,4,0,2271.39778,36.07360315,4/10/15,04:26.8,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,32,8,0,2237.64585,36.6177249,4/10/15,05:02.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,32,16,0,2288.784213,35.79957414,4/10/15,05:39.5,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,2,32,32,0,2328.207868,35.19337988,4/10/15,06:15.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,1,1,0,612.3931282,133.7987449,4/10/15,06:50.5,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,1,2,0,887.5827844,92.31526709,4/10/15,09:04.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,1,4,0,645.4621988,126.943809,4/10/15,10:36.6,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,1,8,0,779.3504358,105.1355529,4/10/15,12:43.5,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,1,16,0,354.9846863,230.8195939,4/10/15,14:28.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,1,32,0,710.4557962,115.3308001,4/10/15,18:19.5,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,2,1,0,362.3834779,226.106941,4/10/15,20:14.8,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,2,2,0,520.7381427,157.3486168,4/10/15,24:00.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,2,4,0,45.73884192,1791.418506,4/10/15,26:38.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,2,8,0,473.2076347,173.153218,4/10/15,56:29.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,2,16,0,667.4442109,122.7629681,4/10/15,59:22.8,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,2,32,0,588.4088069,139.2525911,4/10/15,01:25.6,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,4,1,0,650.0359429,126.0506139,4/10/15,03:44.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,4,2,0,793.5082111,103.259747,4/10/15,05:50.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,4,4,0,959.6023554,85.3868742,4/10/15,07:34.2,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,4,8,0,791.7132406,103.4938281,4/10/15,08:59.5,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,4,16,0,749.6828822,109.2961278,4/10/15,10:43.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,4,32,0,1219.061195,67.21357107,4/10/15,12:32.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,8,1,0,1161.391719,70.5510869,4/10/15,13:39.6,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,8,2,0,1245.047361,65.81071401,4/10/15,14:50.1,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,8,4,0,1158.341097,70.73692799,4/10/15,15:55.9,Stampede,Blacklight
