FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination
3150088,3409,10000,0.04,33554432,2,2,8,0,437.8040203,187.1372261,4/8/15,01:28.2,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,2,16,0,442.6860406,185.0734341,4/8/15,04:35.4,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,2,32,0,442.4921603,185.1545339,4/8/15,07:40.5,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,4,1,0,440.8747826,185.833797,4/8/15,10:45.6,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,4,2,0,443.4867516,184.7392769,4/8/15,13:51.4,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,4,4,0,442.5386551,185.1350729,4/8/15,16:56.2,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,4,8,0,443.6531635,184.6699979,4/8/15,20:01.3,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,4,16,0,443.0007456,184.941958,4/8/15,23:06.0,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,4,32,0,433.3000351,189.0824261,4/8/15,26:10.9,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,8,1,0,1538.008521,53.26988292,4/8/15,29:20.0,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,8,2,0,1477.254632,55.46062613,4/8/15,30:13.3,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,8,4,0,1534.493515,53.391891,4/8/15,31:08.7,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,8,8,0,1653.904402,49.53701305,4/8/15,32:02.1,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,8,16,0,1620.622168,50.55433106,4/8/15,32:51.7,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,8,32,0,1727.977433,47.41354012,4/8/15,33:42.2,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,16,1,0,2166.201044,37.82178211,4/8/15,34:29.6,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,16,2,0,2289.009099,35.79255915,4/8/15,35:07.5,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,16,4,0,2051.879339,39.92900205,4/8/15,35:43.3,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,16,8,0,2183.024244,37.53030705,4/8/15,36:23.2,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,16,16,0,2207.412253,37.11562014,4/8/15,37:00.7,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,16,32,0,2203.344318,37.184201,4/8/15,37:37.8,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,32,1,0,2805.678217,29.201334,4/8/15,38:15.0,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,32,2,0,2519.784633,32.51450896,4/8/15,38:44.2,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,32,4,0,2589.441026,31.639884,4/8/15,39:16.7,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,32,8,0,2962.533293,27.65523601,4/8/15,39:48.4,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,32,16,0,2955.20255,27.72384596,4/8/15,40:16.0,Stampede,Gordon
3150088,3409,10000,0.04,33554432,2,32,32,0,2707.692427,30.25809407,4/8/15,40:43.7,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,1,1,0,609.4324828,134.435652,4/8/15,41:14.0,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,1,2,0,495.7590704,165.2606041,4/8/15,43:28.4,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,1,4,0,993.3408732,82.47870612,4/8/15,46:13.7,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,1,8,0,929.6311147,88.13113189,4/8/15,47:36.2,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,1,16,0,540.2665832,151.6463029,4/8/15,49:04.3,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,1,32,0,932.9301186,87.819484,4/8/15,51:36.0,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,2,1,0,615.1402007,133.188226,4/8/15,53:03.8,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,2,2,0,687.0463222,119.2488551,4/8/15,55:17.0,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,2,4,0,634.9288213,129.037184,4/8/15,57:16.2,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,2,8,0,789.4221465,103.784086,4/8/15,59:25.3,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,2,16,0,761.7114977,107.5596681,4/8/15,01:09.0,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,2,32,0,723.0356143,113.3131392,4/8/15,02:56.6,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,4,1,0,986.7127424,83.03272104,4/8/15,04:49.9,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,4,2,0,1006.037117,81.43782091,4/8/15,06:12.9,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,4,4,0,1158.681271,70.70926118,4/8/15,07:34.4,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,4,8,0,1159.297754,70.67165899,4/8/15,08:45.1,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,4,16,0,1019.256313,80.3815949,4/8/15,09:55.8,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,4,32,0,1198.964856,68.33349013,4/8/15,11:16.1,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,8,1,0,1478.028953,55.4315958,4/8/15,12:24.5,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,8,2,0,1601.422878,51.16042113,4/8/15,13:19.9,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,8,4,0,1466.667687,55.86096096,4/8/15,14:11.1,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,8,8,0,1551.231783,52.81577086,4/8/15,15:06.9,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,8,16,0,1584.282896,51.71393704,4/8/15,15:59.7,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,8,32,0,1599.431235,51.22414589,4/8/15,16:51.5,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,16,1,0,2208.482957,37.09763694,4/8/15,17:42.7,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,16,2,0,2193.038107,37.35894012,4/8/15,18:19.8,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,16,4,0,2209.616006,37.07861209,4/8/15,18:57.1,Stampede,Gordon
3150088,3409,10000,0.04,33554432,4,16,8,0,2270.723107,36.08081102,4/8/15,19:34.2,Stampede,Gordon
