FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination,Note
104857664,64,10000000000,0.04,33554432,1,8,4,0,1646.124303,31.10346103,11/5/14,20:29.8,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,8,8,1,1404.343304,36.45838094,11/5/14,21:00.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,8,8,0,1338.552371,38.25037408,11/5/14,21:37.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,8,16,1,709.4863183,72.16496897,11/5/14,22:15.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,8,16,0,1248.65477,41.00422382,11/5/14,23:27.8,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,8,32,1,716.4253001,71.46604919,11/5/14,24:08.8,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,8,32,0,948.30546,53.99111509,11/5/14,25:20.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,16,1,1,1585.098811,32.30088115,11/5/14,26:14.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,16,1,0,1923.344437,26.62035108,11/5/14,26:46.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,16,2,1,1588.016655,32.24153996,11/5/14,27:13.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,16,2,0,1666.582458,30.72161293,11/5/14,27:45.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,16,4,1,1772.06567,28.89289212,11/5/14,28:16.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,16,4,0,1652.317316,30.98685598,11/5/14,28:45.0,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,16,8,1,1583.370889,32.33613491,11/5/14,29:16.0,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,16,8,0,1346.658744,38.02012396,11/5/14,29:48.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,16,16,1,1361.917173,37.59413099,11/5/14,30:26.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,16,16,0,1289.440971,39.707196,11/5/14,31:04.0,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,16,32,1,1144.624935,44.73087692,11/5/14,31:43.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,16,32,0,837.2683893,61.15131903,11/5/14,32:28.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,32,1,1,2193.819233,23.33835387,11/5/14,33:29.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,32,1,0,2097.215521,24.413378,11/5/14,33:52.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,32,2,1,1985.50309,25.78697109,11/5/14,34:17.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,32,2,0,3341.63027,15.32191801,11/5/14,34:43.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,32,4,1,1375.628413,37.2194469,11/5/14,34:58.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,32,4,0,1737.657134,29.46502519,11/5/14,35:35.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,32,8,1,1843.266868,27.77682996,11/5/14,36:05.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,32,8,0,1967.047261,26.02891803,11/5/14,36:32.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,32,16,1,1575.778982,32.49192905,11/5/14,36:58.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,32,16,0,1115.956485,45.88003612,11/5/14,37:31.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,32,32,1,1731.182235,29.57522702,11/5/14,38:17.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,1,32,32,0,1191.952695,42.95479608,11/5/14,38:46.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,1,1,1,503.5626525,101.675633,11/5/14,39:29.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,1,1,0,1586.305757,32.27631307,11/5/14,41:11.5,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,1,2,1,858.639386,59.62930608,11/5/14,41:43.8,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,1,2,0,838.8856004,61.03346705,11/5/14,42:43.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,1,4,1,1069.399589,47.87740016,11/5/14,43:44.5,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,1,4,0,752.9070229,68.00316906,11/5/14,44:32.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,1,8,1,1455.008635,35.18886113,11/5/14,45:40.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,1,8,0,852.3935085,60.06623197,11/5/14,46:15.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,1,16,1,1093.953996,46.8027699,11/5/14,47:15.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,1,16,0,604.8969001,84.64261889,11/5/14,48:02.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,1,32,1,1789.744613,28.60749507,11/5/14,49:27.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,1,32,0,907.2153076,56.43654609,11/5/14,49:55.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,2,1,1,1382.874915,37.02438211,11/5/14,50:52.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,2,1,0,1178.427219,43.44780803,11/5/14,51:29.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,2,2,1,1260.44972,40.62052107,11/5/14,52:12.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,2,2,0,1046.046,48.94629407,11/5/14,52:53.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,2,4,1,1175.425604,43.55875397,11/5/14,53:42.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,2,4,0,1078.009391,47.49503994,11/5/14,54:25.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,2,8,1,1383.213505,37.01531696,11/5/14,55:13.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,2,8,0,886.2268739,57.77308702,11/5/14,55:50.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,2,16,1,1010.835145,50.6512568,11/5/14,56:48.0,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,2,16,0,611.9972689,83.66059709,11/5/14,57:38.7,Stampede,Gordon/Oasis,
